loss_val,mmd_loss_val,source_ce_loss_val,target_ce_loss_val,acc_total_source_val,acc_total_target_val,loss_train,mmd_loss_train,source_ce_loss_train,target_ce_loss_train,acc_total_source_train,acc_total_target_train
-12.859262466430664,0.6529059410095215,0.7136543989181519,0.6913765668869019,45.166015625,52.978515625,-341.2031555175781,0.6082807183265686,2.113903522491455,1.8067890405654907,5.0375,16.0625
-393.50433349609375,0.6118958592414856,3.4928150177001953,2.8834338188171387,2.83203125,14.2578125,-395.2406921386719,0.518966555595398,3.6914072036743164,3.120215892791748,2.875,14.2625
-423.0279541015625,0.44838422536849976,4.092465400695801,3.5406618118286133,1.806640625,13.0859375,-403.7500915527344,0.5073797702789307,4.8942155838012695,4.146937847137451,2.475,13.95
-427.3307189941406,0.5298291444778442,5.419514179229736,4.629457950592041,2.099609375,12.939453125,-412.1552734375,0.5071299076080322,5.946872234344482,5.03727388381958,2.2625,13.4
-420.79827880859375,0.4612824022769928,6.115729808807373,5.262266635894775,1.85546875,13.0859375,-413.0731506347656,0.4889906048774719,6.846622943878174,5.795385360717773,2.3375,13.3375
-392.23248291015625,0.720659613609314,8.39794921875,6.874536037445068,3.02734375,14.697265625,-414.42059326171875,0.4709012508392334,7.670872688293457,6.5215020179748535,2.2375,13.2125
-427.0484313964844,0.5827410817146301,7.747470378875732,6.655083656311035,0.927734375,12.744140625,-420.9473571777344,0.46285614371299744,8.467422485351562,7.219099998474121,2.0375,12.95
-422.02545166015625,0.5139703154563904,8.791531562805176,7.510468482971191,1.318359375,12.939453125,-418.9519958496094,0.4632692039012909,9.172595977783203,7.787614822387695,2.0,13.25
-432.6686096191406,0.5016254782676697,8.55604362487793,7.556037902832031,0.5859375,11.9140625,-416.9888916015625,0.4984997510910034,9.8417387008667,8.368858337402344,2.0125,13.3
-426.2121887207031,0.5516357421875,10.14569091796875,8.456119537353516,1.318359375,12.5,-420.33294677734375,0.4824197292327881,10.54599380493164,8.946999549865723,1.9625,12.7875
