class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
3.2269187,-0.68918145,8.63729,-1.192661,0.4821585,-14.453573,3.2483907,-1.553753,14.04877,-2.3736312,0.6229317,-22.734804
0.83307606,-0.7848972,7.9671755,-2.4789574,0.07466969,-4.2322817,-3.2527378,0.6426004,-16.200203,0.0027534366,0.1476225,-9.8098135
6.549072,-1.8881115,20.080448,-4.541799,1.1603795,-20.758844,2.78407,-0.8461697,11.451386,-0.5072073,0.6897589,-9.736377
5.0013776,-1.4748498,19.941746,-2.3797607,0.89230895,-10.851474,-2.8031523,1.0303967,-13.718797,-4.5909266,2.4877827,-22.107485
5.840856,-2.1770625,17.123775,-0.6790181,1.320843,-16.938925,-5.3369966,1.155167,-16.641874,-3.0604959,1.9643978,-21.692293
2.8785596,-0.47469184,2.0361946,-1.3208163,0.7536353,-11.959493,-2.8308923,1.2098444,-19.129368,-3.5358934,2.1650603,-20.407892
5.056097,-1.3020085,11.455771,-0.24903774,1.0435094,-9.896425,1.217514,0.52742314,-12.104207,-0.9470189,0.7819592,-14.297521
2.4757574,-1.0696025,6.066779,1.1497145,0.46786246,-12.222763,1.641391,0.39481565,-9.873708,-4.1822424,0.66564107,-11.128509
0.73328245,-0.7955158,8.058262,2.0130548,-0.56822395,-2.9041026,-0.43877816,0.71024346,-13.323384,-3.4877007,0.53863573,-8.665881
4.118684,-0.64081734,13.278141,-3.3825102,1.5503657,-15.308141,6.803935,-2.6508436,26.951153,-4.3408628,1.8386387,-26.272522
5.696944,-2.0181196,22.685268,0.87677824,-0.14107771,-5.933651,5.970414,-1.2026712,14.037145,-3.8254476,0.66322625,-18.784147
1.014966,-0.9059082,7.1222954,-0.82442874,0.0465945,-8.71798,-0.6655621,0.47063634,-7.2195992,-1.2670987,0.94194424,-17.180616
0.85074234,0.5817399,1.6122744,-2.3061352,0.58534014,-22.419558,6.1405783,-2.058842,15.818055,-2.0427523,0.20184371,-16.46188
3.7848716,-0.96365535,10.266389,-3.8097115,2.395514,-21.837576,3.7080572,-0.47955382,12.737105,-4.2400928,0.7236687,-11.911771
0.334592,-0.6652894,3.0789285,-0.55244505,0.5664284,-10.081576,4.073302,-0.48546952,3.668561,-7.106641,2.1282008,-31.000158
5.7167416,-1.2323754,16.062199,-2.226367,0.13492697,-11.097526,0.14929593,0.8046161,-1.8698213,-5.3064632,1.2358094,-18.28423
5.100441,-0.9955907,19.899439,-2.4628675,1.3817567,-22.737158,2.503635,-1.1597582,12.5230055,0.5767668,0.19968638,-8.352427
5.7292795,-1.7937506,20.249754,1.7522175,0.34056458,-9.488881,6.4063363,-2.1426537,26.067598,-4.1086397,0.85048306,-13.169236
3.493815,-0.9662869,10.331428,0.29864246,0.082550764,-9.837483,2.7168272,-0.95395386,4.324294,-4.8476524,2.6441891,-25.122541
0.6870314,-0.24735126,1.9161489,2.2237978,-0.8741188,-1.9607356,0.8417954,0.018260807,-0.45919418,-1.2770638,1.3736635,-17.54848
5.0116897,-1.5947027,16.683004,-1.5947473,0.7648722,-13.789387,-2.0183365,0.037835807,-2.9586077,-2.2252803,0.346238,-12.426841
4.786219,-2.0303166,20.34342,-2.159966,-0.011875778,-3.2334383,-4.021955,1.912629,-30.136463,-0.83141416,0.3930098,-13.264943
-1.7904799,-0.12728031,-1.4231415,1.3990593,0.60515785,-8.503608,5.7066135,-1.5344547,14.613911,-1.106977,0.8311869,-11.568715
5.219095,-2.1626022,22.1895,-2.7879338,2.0704744,-19.234188,-2.384918,1.0002156,-20.200537,-4.48615,0.87510693,-17.26356
-0.022966087,-0.47961554,-0.5492558,-2.3215091,0.3365881,-11.94778,-2.37818,1.1106204,-16.38593,-4.448516,1.9703451,-29.252102
